SEG | tiempo(s) | class_id | confianza | latencia(ms)
0 | 0:00:00 | 4 | 0.207 | 883.4
1 | 0:00:01 | 1 | 0.421 | 14.0
2 | 0:00:02 | 0 | 0.326 | 13.8
3 | 0:00:03 | 1 | 0.307 | 14.0
4 | 0:00:04 | 1 | 0.397 | 14.0
5 | 0:00:06 | 1 | 0.368 | 13.9
6 | 0:00:07 | 1 | 0.326 | 13.9
7 | 0:00:08 | 1 | 0.337 | 13.9
8 | 0:00:09 | 0 | 0.318 | 14.7
9 | 0:00:10 | 1 | 0.404 | 14.1
10 | 0:00:12 | 1 | 0.387 | 13.9
11 | 0:00:13 | 1 | 0.423 | 14.1
12 | 0:00:14 | 1 | 0.286 | 14.0
13 | 0:00:15 | 1 | 0.363 | 14.1
14 | 0:00:16 | 1 | 0.322 | 14.0
15 | 0:00:18 | 1 | 0.367 | 13.9
16 | 0:00:19 | 1 | 0.293 | 14.1
17 | 0:00:20 | 1 | 0.290 | 14.0
18 | 0:00:21 | 1 | 0.362 | 14.1
19 | 0:00:22 | 1 | 0.440 | 14.4
20 | 0:00:24 | 1 | 0.411 | 13.9
21 | 0:00:25 | 1 | 0.370 | 15.5
22 | 0:00:26 | 1 | 0.358 | 13.9
23 | 0:00:27 | 1 | 0.452 | 14.0
24 | 0:00:28 | 1 | 0.431 | 14.5
25 | 0:00:30 | 1 | 0.383 | 13.9
26 | 0:00:31 | 1 | 0.350 | 13.9
27 | 0:00:32 | 1 | 0.463 | 14.1
28 | 0:00:33 | 1 | 0.335 | 13.9
29 | 0:00:34 | 1 | 0.365 | 14.0
30 | 0:00:36 | 1 | 0.395 | 14.0
31 | 0:00:37 | 1 | 0.439 | 13.9
32 | 0:00:38 | 1 | 0.382 | 14.6
33 | 0:00:39 | 1 | 0.429 | 15.2
34 | 0:00:40 | 1 | 0.374 | 14.0
35 | 0:00:42 | 1 | 0.358 | 14.1
36 | 0:00:43 | 1 | 0.280 | 13.9
37 | 0:00:44 | 1 | 0.411 | 15.6
38 | 0:00:45 | 1 | 0.387 | 13.9
39 | 0:00:46 | 1 | 0.299 | 14.0
40 | 0:00:48 | 1 | 0.254 | 14.0
41 | 0:00:49 | 2 | 0.242 | 14.0
42 | 0:00:50 | 1 | 0.345 | 14.4
43 | 0:00:51 | 1 | 0.412 | 14.6
44 | 0:00:52 | 0 | 0.238 | 14.0
45 | 0:00:54 | 1 | 0.427 | 14.1
46 | 0:00:55 | 1 | 0.461 | 14.6
47 | 0:00:56 | 1 | 0.409 | 14.7
48 | 0:00:57 | 1 | 0.392 | 15.3
49 | 0:00:58 | 1 | 0.393 | 14.0
50 | 0:01:00 | 1 | 0.344 | 13.9
51 | 0:01:01 | 1 | 0.344 | 14.1
52 | 0:01:02 | 1 | 0.453 | 14.0
53 | 0:01:03 | 1 | 0.487 | 14.2
54 | 0:01:04 | 1 | 0.471 | 14.1
55 | 0:01:06 | 1 | 0.427 | 14.0
56 | 0:01:07 | 1 | 0.388 | 13.9
57 | 0:01:08 | 1 | 0.426 | 13.9
58 | 0:01:09 | 1 | 0.351 | 14.0
59 | 0:01:10 | 1 | 0.438 | 14.1
60 | 0:01:12 | 1 | 0.425 | 14.0
61 | 0:01:13 | 1 | 0.544 | 14.0
62 | 0:01:14 | 1 | 0.461 | 14.0
63 | 0:01:15 | 0 | 0.333 | 13.9
64 | 0:01:16 | 1 | 0.356 | 14.2
65 | 0:01:18 | 6 | 0.281 | 14.0
66 | 0:01:19 | 1 | 0.345 | 14.0
67 | 0:01:20 | 1 | 0.351 | 14.0
68 | 0:01:21 | 1 | 0.317 | 14.1
69 | 0:01:22 | 1 | 0.410 | 14.1
70 | 0:01:24 | 1 | 0.298 | 14.1
71 | 0:01:25 | 0 | 0.357 | 14.4
72 | 0:01:26 | 0 | 0.366 | 14.0
73 | 0:01:27 | 0 | 0.362 | 14.0
74 | 0:01:28 | 1 | 0.319 | 14.0
75 | 0:01:30 | 6 | 0.350 | 14.1
76 | 0:01:31 | 1 | 0.461 | 14.0
77 | 0:01:32 | 1 | 0.333 | 14.3
78 | 0:01:33 | 0 | 0.371 | 14.0
79 | 0:01:34 | 1 | 0.375 | 13.9
80 | 0:01:36 | 1 | 0.389 | 13.9
81 | 0:01:37 | 6 | 0.370 | 14.0
82 | 0:01:38 | 6 | 0.329 | 14.0
83 | 0:01:39 | 1 | 0.380 | 14.0
84 | 0:01:40 | 1 | 0.400 | 14.0
85 | 0:01:42 | 6 | 0.318 | 14.0
86 | 0:01:43 | 0 | 0.330 | 14.9
87 | 0:01:44 | 0 | 0.403 | 14.8
88 | 0:01:45 | 6 | 0.326 | 14.1
89 | 0:01:46 | 0 | 0.302 | 14.0
90 | 0:01:48 | 6 | 0.382 | 14.0
91 | 0:01:49 | 0 | 0.388 | 14.0
92 | 0:01:50 | 1 | 0.491 | 14.0
93 | 0:01:51 | 1 | 0.379 | 14.0
94 | 0:01:52 | 1 | 0.559 | 13.9
95 | 0:01:54 | 0 | 0.311 | 13.9
96 | 0:01:55 | 0 | 0.292 | 15.0
97 | 0:01:56 | 1 | 0.334 | 13.9
98 | 0:01:57 | 1 | 0.339 | 14.5
99 | 0:01:58 | 1 | 0.429 | 14.0
100 | 0:02:00 | 1 | 0.480 | 14.1
101 | 0:02:01 | 1 | 0.505 | 14.0
102 | 0:02:02 | 1 | 0.465 | 14.0
103 | 0:02:03 | 1 | 0.529 | 14.2
104 | 0:02:04 | 1 | 0.486 | 14.0
105 | 0:02:06 | 1 | 0.493 | 14.1
106 | 0:02:07 | 1 | 0.569 | 15.5
107 | 0:02:08 | 1 | 0.555 | 14.0
108 | 0:02:09 | 1 | 0.505 | 13.9
109 | 0:02:10 | 1 | 0.531 | 14.0
110 | 0:02:12 | 1 | 0.525 | 13.9
111 | 0:02:13 | 1 | 0.265 | 14.0
112 | 0:02:14 | 1 | 0.274 | 14.7
113 | 0:02:15 | 0 | 0.246 | 14.2
114 | 0:02:16 | 1 | 0.273 | 14.0
115 | 0:02:18 | 0 | 0.239 | 14.0
116 | 0:02:19 | 0 | 0.223 | 14.1
117 | 0:02:20 | 1 | 0.282 | 14.0
118 | 0:02:21 | 1 | 0.322 | 14.0
119 | 0:02:22 | 1 | 0.277 | 14.1
120 | 0:02:24 | 1 | 0.280 | 14.6
121 | 0:02:25 | 1 | 0.274 | 14.0
122 | 0:02:26 | 1 | 0.319 | 14.1
123 | 0:02:27 | 1 | 0.223 | 14.0
124 | 0:02:28 | 0 | 0.248 | 14.1
125 | 0:02:30 | 1 | 0.238 | 15.4
126 | 0:02:31 | 0 | 0.248 | 14.1
127 | 0:02:32 | 1 | 0.313 | 14.1
128 | 0:02:33 | 1 | 0.278 | 15.3
129 | 0:02:34 | 1 | 0.338 | 14.0
130 | 0:02:36 | 1 | 0.442 | 13.9
131 | 0:02:37 | 0 | 0.313 | 14.0
132 | 0:02:38 | 2 | 0.206 | 15.3
133 | 0:02:39 | 0 | 0.213 | 14.0
134 | 0:02:40 | 0 | 0.235 | 14.5
135 | 0:02:42 | 0 | 0.248 | 14.0
136 | 0:02:43 | 0 | 0.316 | 15.5
137 | 0:02:44 | 0 | 0.222 | 14.4
138 | 0:02:45 | 2 | 0.197 | 14.1
139 | 0:02:46 | 0 | 0.286 | 13.9
140 | 0:02:48 | 0 | 0.324 | 13.9
141 | 0:02:49 | 1 | 0.233 | 14.1
142 | 0:02:50 | 0 | 0.336 | 14.1
143 | 0:02:51 | 0 | 0.246 | 13.9
144 | 0:02:52 | 3 | 0.286 | 14.9
145 | 0:02:54 | 0 | 0.210 | 14.3
146 | 0:02:55 | 6 | 0.199 | 14.2
